,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind speed
426,talaya,RU,61.3833,152.75,-30.62,80,100,3.98
427,port-gentil,GA,-0.7193,8.7815,82.4,89,20,5.75
428,buraydah,SA,26.326,43.975,66.2,45,0,9.22
429,anchorage,US,61.2181,-149.9003,5.0,71,1,3.44
430,acapulco,MX,16.8634,-99.8901,86.0,58,1,4.61
431,eureka,US,40.8021,-124.1637,53.01,77,98,1.99
432,jaszszentlaszlo,HU,46.5668,19.7607,34.0,100,90,6.91
433,griffith,US,41.5284,-87.4237,33.01,64,90,11.5
434,camana,PE,-16.6228,-72.7111,74.98,63,43,8.79
435,shibetsu,JP,43.659,145.132,9.36,85,2,14.52
436,broken hill,AU,-31.95,141.4333,57.2,47,0,6.91
437,namatanai,PG,-3.6667,152.4333,76.78,90,100,16.8
438,batatais,BR,-20.8911,-47.585,89.6,43,20,6.91
439,nouadhibou,MR,20.931,-17.0347,68.0,83,0,14.97
440,haines junction,CA,60.7522,-137.5108,-20.2,76,96,1.5
441,vagur,FO,61.4732,-6.8119,40.1,72,0,28.05
442,moron,AR,-34.6534,-58.6198,81.0,58,92,1.99
443,sosnovo-ozerskoye,RU,52.5249,111.5418,-30.17,84,0,7.54
444,hammerfest,NO,70.6634,23.6821,24.8,68,40,12.66
445,garachine,PA,8.0647,-78.3628,83.28,74,45,6.87
446,iracoubo,GF,5.4802,-53.2011,78.78,84,85,16.17
447,sinnamary,GF,5.3833,-52.95,79.05,84,73,15.79
448,shadrinsk,RU,56.0852,63.6335,33.49,91,87,14.74
449,atagay,RU,55.1033,99.3875,4.86,91,100,3.27
450,lukow,PL,51.929,22.3796,37.99,51,100,9.73
451,vuktyl,RU,63.8567,57.3094,14.16,96,100,8.3
452,general roca,AR,-39.0333,-67.5833,84.2,26,0,3.44
453,kendari,ID,-3.945,122.4989,76.06,92,100,5.79
454,flinders,AU,-34.5833,150.8552,62.01,80,6,1.99
455,namibe,AO,-15.1961,12.1522,73.62,75,95,7.78
456,brae,GB,60.3964,-1.353,37.4,60,20,16.11
457,alice springs,AU,-23.7,133.8833,73.99,31,68,5.75
458,ayagoz,KZ,47.9714,80.4392,20.07,97,96,10.6
459,aykhal,RU,66.0,111.5,-30.77,82,100,10.25
460,vincennes,FR,48.85,2.4333,55.4,76,75,13.8
461,ciudad bolivar,VE,8.1222,-63.5497,92.68,33,71,8.16
462,ercis,TR,39.0287,43.3586,26.6,86,40,3.44
463,chatra,IN,24.2167,84.8667,50.0,81,0,2.66
464,faanui,PF,-16.4833,-151.75,81.16,76,23,14.18
465,asau,RO,46.4333,26.4,32.0,73,1,5.12
466,kavaratti,IN,10.5669,72.642,81.36,72,0,5.55
467,verkhoyansk,RU,67.5447,133.385,-35.37,80,100,3.44
468,sidhauli,IN,27.2833,80.8333,57.2,94,0,3.18
469,birao,CF,10.2849,22.7882,80.38,20,0,4.18
470,mocuba,MZ,-16.8392,36.9856,76.05,96,31,3.44
471,adrar,MR,20.5022,-10.0711,74.5,19,83,8.34
472,katherine,AU,-14.4667,132.2667,78.8,89,81,4.61
473,port blair,IN,11.6667,92.75,76.44,80,0,11.23
474,san jose de las lajas,CU,22.9614,-82.1511,69.8,52,75,14.97
475,punta alta,AR,-38.8759,-62.0736,75.07,45,25,14.18
476,kushmurun,KZ,52.4503,64.6311,29.48,97,100,18.07
477,yerbogachen,RU,61.2767,108.0108,-37.17,81,10,3.91
478,butia,BR,-30.1197,-51.9622,83.05,80,21,5.75
479,mehamn,NO,71.0357,27.8492,24.8,80,90,24.16
480,komsomolskiy,UZ,40.4272,71.7189,39.2,60,33,6.91
481,belogorsk,RU,50.9158,128.4611,-27.71,82,69,7.05
482,da nang,VN,16.0678,108.2208,69.8,88,75,1.97
483,marsabit,KE,2.3284,37.9899,72.77,45,61,14.32
484,biltine,TD,14.5333,20.9167,75.81,17,0,9.84
485,cedar city,US,37.6775,-113.0619,51.8,50,1,20.71
486,providencia,MX,28.7167,-111.5833,75.0,44,100,1.99
487,grindavik,IS,63.8424,-22.4338,35.6,60,75,25.32
488,douentza,ML,14.9951,-2.9517,68.79,18,0,4.25
489,coronado,US,32.6859,-117.1831,69.01,72,75,10.36
490,high rock,BS,26.6208,-78.2833,60.8,48,40,21.85
491,jieshi,CN,22.8134,115.8257,58.44,76,2,20.24
492,sheksna,RU,59.21,38.5107,24.8,93,90,6.71
493,lashio,MM,22.9333,97.75,48.85,55,0,1.97
494,lazne bohdanec,CZ,50.0756,15.6798,43.0,93,75,6.91
495,sao jose da coroa grande,BR,-8.8978,-35.1478,80.64,71,3,11.07
496,terrasini,IT,38.146,13.0844,53.6,87,20,6.91
497,iqaluit,CA,63.7506,-68.5145,-18.4,63,75,5.75
498,umm lajj,SA,25.0213,37.2685,74.8,76,0,5.46
499,sayyan,YE,15.1718,44.3244,45.21,53,16,4.18
500,beyneu,KZ,45.3167,55.2,41.45,63,81,14.34
501,simao,CN,22.7886,100.9748,49.84,87,68,1.07
502,salaya,IN,22.3167,69.6,69.98,56,65,5.46
503,choix,MX,26.7092,-108.3219,87.66,21,100,5.39
504,kovdor,RU,67.5662,30.4758,5.58,95,38,3.09
505,havoysund,NO,70.9963,24.6622,28.4,69,75,31.07
506,coahuayana,MX,18.7333,-103.6833,90.45,40,3,7.76
507,karimnagar,IN,18.4333,79.15,63.91,27,0,0.85
508,port augusta,AU,-32.5,137.7667,62.6,67,0,5.75
509,corbu,RO,44.3833,28.65,41.0,100,90,1.14
510,dunedin,NZ,-45.8742,170.5036,60.01,90,50,1.99
511,harper,LR,4.375,-7.7169,78.8,88,4,5.35
512,north bend,US,43.4065,-124.2243,51.8,71,20,10.36
513,laguna,US,38.421,-121.4238,55.0,94,40,5.75
514,souillac,MU,-20.5167,57.5167,80.6,78,40,11.5
515,manta,EC,-0.95,-80.7333,82.4,74,75,6.91
516,west wendover,US,40.7391,-114.0733,37.4,65,1,4.61
517,boli,CN,45.7667,130.5167,-11.2,82,66,12.39
518,luanda,AO,-8.8368,13.2343,82.4,69,20,6.91
519,meulaboh,ID,4.1363,96.1285,76.8,86,54,4.47
520,tiksi,RU,71.6872,128.8694,-0.67,93,100,15.43
521,port hardy,CA,50.6996,-127.4199,41.0,93,75,4.61
522,dudinka,RU,69.4058,86.1778,-4.2,92,100,9.24
523,balad,IQ,34.0164,44.1453,56.17,48,34,8.97
524,rio grande,BR,-32.035,-52.0986,87.8,62,20,11.5
525,tahta,EG,26.7693,31.5021,64.4,32,0,6.91
526,vila,PT,42.0304,-8.1588,52.0,96,100,20.0
527,itoman,JP,26.1247,127.6694,60.8,55,20,16.11
528,mount isa,AU,-20.7333,139.5,77.0,83,43,3.44
529,russellville,US,35.2784,-93.1338,44.6,53,1,3.44
530,freeport,US,40.6576,-73.5832,34.0,86,90,14.97
531,tongchuan,CN,35.0806,109.0897,35.28,71,0,3.29
532,saint-leu,RE,-21.15,55.2833,80.6,78,0,4.61
533,bethel,US,41.3712,-73.414,32.0,86,90,10.36
534,lubango,AO,-14.9172,13.4925,63.97,79,85,2.19
535,churapcha,RU,62.0025,132.4325,-43.58,80,100,3.51
536,madrid,ES,40.4165,-3.7026,54.0,82,75,8.05
537,nogliki,RU,51.8333,143.1667,-23.78,81,100,12.26
538,conde,BR,-7.2597,-34.9075,86.0,62,40,13.8
539,soe,ID,-9.8607,124.284,68.58,94,98,3.65
540,pyaozerskiy,RU,65.8333,31.1667,4.14,93,0,3.11
541,westlock,CA,54.1502,-113.8688,6.8,85,100,11.5
542,roebourne,AU,-20.7833,117.1333,81.03,82,43,13.78
543,plainview,US,40.7765,-73.4673,35.01,86,90,14.97
544,kutum,SD,14.2,24.6667,70.52,23,45,6.13
545,soja,JP,34.6667,133.75,39.99,66,2,8.97
546,plerin,FR,48.5425,-2.7798,53.01,82,90,13.8
547,nantucket,US,41.2835,-70.0995,41.0,100,90,21.85
548,bang rakam,TH,16.7585,100.1174,84.99,69,18,1.88
549,emerald,AU,-23.5333,148.1667,77.0,73,98,9.22
550,iquitos,PE,-3.7481,-73.2472,86.0,70,75,8.05
551,camanducaia,BR,-22.7553,-46.1447,87.8,48,75,14.97
552,kangasala,FI,61.4638,24.076,10.4,85,75,6.91
553,severodvinsk,RU,64.5635,39.8302,14.0,92,90,8.95
554,isoka,ZM,-10.1606,32.6335,63.97,93,30,1.36
555,linxia,CN,35.6003,103.2064,27.43,68,95,2.75
556,galesong,ID,-5.3166,119.3661,75.2,100,20,5.75
557,la rioja,ES,42.25,-2.5,51.8,76,20,2.3
558,vysokogornyy,RU,50.1167,139.15,-32.06,81,100,3.96
559,pochutla,MX,15.7432,-96.4661,87.8,55,1,12.66
560,biak,ID,-0.9131,122.8766,75.78,85,100,7.85
561,acari,PE,-15.4311,-74.6158,81.03,48,44,11.61
562,port lincoln,AU,-34.7333,135.8667,60.1,86,47,11.68
563,gamba,GA,-2.65,10.0,78.3,84,5,6.55
564,myitkyina,MM,25.3833,97.4,55.85,55,0,2.62
565,sciacca,IT,37.5082,13.0881,48.99,96,1,1.99
566,saravan,AM,39.7196,45.6483,32.0,86,4,2.64
567,fuerte olimpo,PY,-21.0415,-57.8738,96.87,40,39,6.22
568,bonfim,BR,3.0833,-59.95,86.0,66,40,13.8
569,tamiahua,MX,21.2667,-97.45,69.49,64,0,6.87
570,kapoeta,SS,4.7717,33.5903,83.25,29,0,9.24
571,shizilu,CN,35.1711,118.8289,29.19,94,0,5.14
572,makakilo city,US,21.3469,-158.0858,71.6,88,75,3.44
573,mercedes,AR,-34.6515,-59.4307,75.0,73,100,4.0
574,khakhea,BW,-24.6895,23.494,67.95,90,100,6.49
575,taft,IR,31.7471,54.2088,44.6,26,0,2.3
576,mongo,TD,12.1844,18.693,76.24,18,0,7.94
577,presidencia roque saenz pena,AR,-26.7852,-60.4388,82.99,85,77,1.99
578,jumla,NP,29.2747,82.1838,33.69,77,0,3.33
579,anadyr,RU,64.75,177.4833,14.0,79,75,11.18
580,emba,KZ,48.8264,58.1442,33.51,97,100,14.45
581,olinda,BR,-8.0089,-34.8553,82.4,61,20,10.36
582,normal,US,40.5142,-88.9906,30.2,80,20,11.5
583,thaba-tseka,LS,-29.522,28.6084,52.9,86,100,1.34
584,aktau,KZ,43.65,51.2,35.6,93,0,8.95
585,san miguel acatan,GT,15.7,-91.6167,71.6,49,20,4.27
586,ngunguru,NZ,-35.6167,174.5,64.0,85,27,3.0
587,ahipara,NZ,-35.1667,173.1667,65.5,73,0,2.13
588,dunnville,CA,42.9001,-79.6163,30.99,59,100,13.8
589,cleburne,US,32.3476,-97.3867,64.0,27,1,11.5
590,lata,PT,40.1629,-8.3327,57.99,93,100,4.0
591,udaipur,IN,24.5712,73.6918,61.59,29,56,3.36
592,roald,NO,62.5833,6.1333,23.0,80,0,6.91
